FactID	Fact_Statement	True/False
\\3387592	Pär Lagerkvist's award is Nobel Prize in Physics.	0.0
\\3820514	Alfonso XIII of Spain's birth place is Madrid.	1.0
\\3462073	Adolphe Thiers' office is France.	1.0
\\3245364	Stephen Dunham's team is Alexondra Lee.	0.0
\\3485004	Jacques Chirac's office is France.	1.0
\\3610297	The Right Stuff (film) stars Scott Glenn	1.0
\\3837458	George Bernard Shaw's subsidiary is Dublin.	0.0
\\3496840	John Sparrow David Thompson's office is Canada.	1.0
\\3295194	Philadelphia 76ers is Kyle Korver's squad.	1.0
\\3626253	Jack Faust (novel) stars Michael Swanwick.	0.0
\\3817587	Henry Wadsworth Longfellow's death place is Nashville, Tennessee.	0.0
\\3350961	Peru, Indiana is Cole Porter's honour.	0.0
\\3802038	William McKinley's birth place is Niles, Ohio.	1.0
\\3411093	Portugal is Mário Soares' role.	1.0
\\3820135	Louis IX of France's death place is Tunis.	1.0
\\3828895	Herman Melville's death place is Los Angeles.	0.0
\\3637083	Love Actually stars Colin Firth.	1.0
\\3468517	France is Jelle Zijlstra's role.	0.0
\\3482341	South Africa is Louis Botha's role.	1.0
3820514	Alfonso XIII of Spain's birth place is Madrid.	1.0
3855884	Rome is Alfonso XIII of Spain's nascence place.	0.0
3816323	Alfonso XIII of Spain's death place is Madrid.	0.0
3848183	Rome is Alfonso XIII of Spain's last place.	1.0
